DATE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection
2020-03-12,30.1532258064516,36.483870967741936,46.29032258064516,70.2258064516129,30.127916666666664,29.983225806451614,9.129032258064516,42.064516129032256,61.42857142857143
2020-03-13,29.890249999999998,44.3421052631579,54.425,74.3,29.885833333333327,29.720250000000004,6.0875,49.225,188.0
2020-03-14,30.31375,20.041666666666668,48.208333333333336,33.041666666666664,30.290416666666673,30.14375,10.0,37.541666666666664,287.27272727272725
2020-03-15,30.45230769230769,18.72,46.92,33.88,30.43291666666666,30.278333333333336,9.663461538461538,36.82608695652174,50.76923076923077
2020-03-16,30.53655172413793,21.586206896551722,39.6551724137931,50.10344827586207,30.525416666666676,30.36655172413793,10.0,33.3448275862069,69.0
2020-03-17,30.2075,39.333333333333336,47.25,75.11111111111111,30.1875,30.037499999999998,8.777777777777779,43.638888888888886,113.75
2020-03-18,30.445833333333336,26.708333333333332,47.041666666666664,45.75,30.42208333333333,30.275833333333328,10.0,38.833333333333336,147.33333333333334
2020-03-19,30.279318181818176,41.11363636363637,44.81818181818182,87.25,30.242500000000007,30.109318181818175,5.545454545454546,43.09090909090909,48.064516129032256
2020-03-20,29.982424242424237,48.18181818181818,57.18181818181818,75.24242424242425,29.93166666666666,29.812424242424242,7.0606060606060606,52.21212121212121,92.63157894736842
2020-03-21,30.301250000000007,20.416666666666668,47.291666666666664,36.541666666666664,30.273750000000003,30.131250000000005,10.0,37.333333333333336,58.333333333333336
2020-03-22,30.64375,15.5,38.0,41.041666666666664,30.61791666666666,30.473749999999995,10.0,30.708333333333332,77.5
2020-03-23,30.258035714285704,34.30357142857143,38.089285714285715,87.01785714285714,30.265416666666678,30.097037037037033,4.933035714285714,36.5,103.92857142857143
2020-03-24,30.1065625,31.84375,42.84375,67.21875,30.106666666666655,29.936562500000004,10.0,38.15625,177.3684210526316
2020-03-25,30.076562499999994,34.09375,42.5625,72.125,30.063333333333322,29.905483870967743,9.96875,39.064516129032256,49.09090909090909
2020-03-26,29.984583333333333,32.708333333333336,47.416666666666664,58.0,29.95916666666666,29.814583333333335,10.0,40.958333333333336,113.63636363636364
2020-03-27,29.890833333333337,32.25,58.333333333333336,43.541666666666664,29.865,29.720833333333328,10.0,46.875,133.57142857142858
2020-03-28,30.093023255813954,38.72093023255814,46.53488372093023,78.09302325581395,30.07624999999999,29.923023255813945,6.1104651162790695,43.25581395348837,60.645161290322584
2020-03-29,29.972000000000016,43.78,45.28,94.82,29.933749999999993,29.802000000000007,3.845,44.72,58.529411764705884
2020-03-30,29.968809523809526,41.142857142857146,46.023809523809526,83.61904761904762,29.94125,29.798809523809506,9.619047619047619,43.80952380952381,55.0
2020-03-31,30.0172972972973,36.054054054054056,43.351351351351354,76.35135135135135,29.986666666666675,29.84729729729729,9.14864864864865,40.189189189189186,105.55555555555556
2020-04-01,29.811999999999994,27.24,46.6,49.12,29.785000000000007,29.642000000000007,10.0,38.64,43.75
2020-04-02,29.702083333333324,26.625,48.583333333333336,43.416666666666664,29.67833333333333,29.53391304347826,10.0,39.43478260869565,302.5
2020-04-03,29.746206896551723,39.55172413793103,49.758620689655174,68.55172413793103,29.702500000000004,29.571428571428573,9.586206896551724,45.07142857142857,213.0
2020-04-04,29.99742857142856,41.31428571428572,50.17142857142857,73.31428571428572,29.974583333333328,29.826764705882358,8.17142857142857,46.11764705882353,60.0
2020-04-05,30.032916666666665,44.0,53.875,70.625,30.00666666666668,29.86217391304348,10.0,49.0,33.5
2020-04-06,30.014166666666668,30.291666666666668,56.958333333333336,42.625,29.985416666666676,29.8413043478261,9.583333333333334,45.56521739130435,135.0
2020-04-07,29.875833333333333,29.458333333333332,57.625,35.666666666666664,29.8475,29.705833333333334,10.0,45.416666666666664,150.71428571428572
2020-04-08,29.57375000000001,48.025,55.275,78.275,29.568333333333328,29.403749999999985,6.7875,51.525,90.0
2020-04-09,29.34941176470588,41.529411764705884,51.94117647058823,70.32352941176471,29.370833333333337,29.17941176470588,8.713235294117647,47.1764705882353,152.14285714285714
2020-04-10,29.48250000000001,26.714285714285715,42.785714285714285,54.857142857142854,29.47458333333334,29.3125,9.857142857142858,36.42857142857143,278.1818181818182
2020-04-11,29.93208333333334,18.25,47.041666666666664,32.666666666666664,29.907083333333333,29.764782608695654,10.0,36.43478260869565,272.5
2020-04-12,30.147500000000004,33.291666666666664,54.5,46.541666666666664,30.1225,29.977500000000003,10.0,45.291666666666664,110.0
2020-04-13,29.724,54.41538461538462,56.96923076923077,92.2,29.727499999999996,29.55399999999999,3.6048387096774195,55.36923076923077,168.94736842105263
2020-04-14,30.032083333333333,29.583333333333332,51.625,44.0,30.00583333333333,29.862083333333345,10.0,42.125,236.0
2020-04-15,29.972692307692306,21.076923076923077,46.68,40.08,29.94708333333334,29.803749999999997,10.0,37.333333333333336,228.75
2020-04-16,30.113333333333333,19.083333333333332,43.666666666666664,39.375,30.08916666666666,29.94333333333333,10.0,34.833333333333336,291.6666666666667
2020-04-17,30.15724137931034,26.517241379310345,43.10344827586207,55.44827586206897,30.15833333333333,29.98724137931034,9.241379310344827,36.827586206896555,110.71428571428571
2020-04-18,29.814999999999994,37.11764705882353,43.64705882352941,79.55882352941177,29.80791666666666,29.646666666666665,7.0588235294117645,40.84848484848485,121.05263157894737
