DATE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection
2020-03-12,30.13225806451613,33.25806451612903,41.25806451612903,74.19354838709677,30.14125,29.702258064516144,9.806451612903226,37.87096774193548,124.51612903225806
2020-03-13,29.845,43.69444444444444,52.28947368421053,77.0,29.88416666666667,29.416842105263143,4.2368421052631575,48.0,193.33333333333334
2020-03-14,30.268749999999997,21.458333333333332,44.708333333333336,40.0,30.27666666666667,29.83874999999999,10.0,35.833333333333336,300.8333333333333
2020-03-15,30.41916666666667,16.916666666666668,42.333333333333336,37.916666666666664,30.43291666666666,29.989166666666662,10.0,33.458333333333336,284.09090909090907
2020-03-16,30.513600000000007,17.72,35.28,50.56,30.54041666666667,30.081200000000003,10.0,29.68,94.16666666666667
2020-03-17,30.17176470588235,37.0,42.88235294117647,80.88235294117646,30.19125,29.741764705882353,7.970588235294118,40.294117647058826,172.35294117647058
2020-03-18,30.40791666666666,25.708333333333332,43.208333333333336,52.333333333333336,30.419999999999998,29.97791666666667,10.0,36.25,203.63636363636363
2020-03-19,30.24147058823531,39.5,43.14705882352941,87.20588235294117,30.247500000000006,29.81147058823528,7.455882352941177,41.55882352941177,84.11764705882354
2020-03-20,29.930606060606063,47.696969696969695,54.484848484848484,80.96969696969697,29.924166666666668,29.501212121212124,5.4393939393939394,50.78787878787879,161.42857142857142
2020-03-21,30.265,19.25,43.375,39.833333333333336,30.27083333333334,29.835000000000004,10.0,34.875,287.0833333333333
2020-03-22,30.61230769230768,14.192307692307692,34.07692307692308,45.46153846153846,30.62958333333333,30.176923076923092,10.0,27.76923076923077,129.6
2020-03-23,30.249722222222236,30.166666666666668,34.638888888888886,84.47222222222223,30.28375,29.819166666666653,5.215277777777778,32.833333333333336,162.57142857142858
2020-03-24,30.067272727272726,30.545454545454547,39.0,73.66666666666667,30.109583333333333,29.637272727272723,9.969696969696969,35.515151515151516,286.25
2020-03-25,30.058333333333323,31.3,38.666666666666664,74.86666666666666,30.07583333333332,29.628333333333348,10.0,35.666666666666664,105.66666666666667
2020-03-26,29.94333333333333,31.333333333333332,43.0,66.04166666666667,29.956666666666663,29.51374999999999,10.0,38.041666666666664,233.04347826086956
2020-03-27,29.862916666666663,30.208333333333332,53.833333333333336,45.833333333333336,29.865,29.435000000000002,10.0,43.708333333333336,241.25
2020-03-28,30.07931034482759,33.827586206896555,44.55172413793103,70.10344827586206,30.089583333333334,29.649310344827587,7.620689655172414,40.206896551724135,89.65517241379311
2020-03-29,29.94558823529412,43.205882352941174,44.911764705882355,94.02941176470588,29.947916666666668,29.51558823529412,4.992647058823529,44.1764705882353,76.96969696969697
2020-03-30,29.933666666666664,39.03333333333333,43.1,85.8,29.948333333333338,29.503666666666664,9.416666666666666,41.333333333333336,92.41379310344827
2020-03-31,29.980000000000018,34.28125,40.5625,78.75,29.99208333333334,29.549999999999997,9.46875,37.96875,90.66666666666667
2020-04-01,29.775200000000005,26.12,43.6,53.12,29.785,29.34959999999998,10.0,36.6,162.27272727272728
2020-04-02,29.64791666666667,28.291666666666668,46.208333333333336,51.166666666666664,29.654583333333335,29.225416666666675,10.0,38.791666666666664,322.5
2020-04-03,29.701875,39.59375,46.375,77.3125,29.694583333333338,29.277499999999993,9.8125,43.25,320.9375
2020-04-04,29.9672,39.0,49.28,68.68,29.97458333333333,29.537200000000002,9.92,44.44,100.8695652173913
2020-04-05,30.00928571428572,42.82142857142857,48.535714285714285,81.71428571428571,30.01083333333334,29.5792857142857,8.821428571428571,45.82142857142857,115.71428571428571
2020-04-06,29.97869565217393,28.043478260869566,53.375,42.91304347826087,29.961739130434793,29.548695652173908,10.0,42.81818181818182,298.69565217391306
2020-04-07,29.837083333333336,29.083333333333332,53.833333333333336,40.666666666666664,29.836666666666662,29.409999999999993,9.958333333333334,43.166666666666664,219.52380952380952
2020-04-08,29.562142857142863,44.32142857142857,50.67857142857143,80.10714285714286,29.568749999999994,29.141785714285714,7.928571428571429,47.57142857142857,148.46153846153845
2020-04-09,29.357499999999998,38.833333333333336,46.166666666666664,78.75,29.360833333333343,28.937499999999993,5.0,43.138888888888886,161.11111111111111
2020-04-10,29.433333333333334,25.708333333333332,40.916666666666664,55.5,29.44416666666667,29.0125,10.0,35.0,286.5217391304348
2020-04-11,29.882500000000004,19.333333333333332,43.375,39.958333333333336,29.896249999999995,29.45375,10.0,34.541666666666664,254.7826086956522
2020-04-12,30.126250000000002,33.625,48.916666666666664,57.208333333333336,30.133750000000003,29.696250000000006,10.0,42.291666666666664,128.2608695652174
2020-04-13,29.712926829268305,53.31707317073171,56.24390243902439,90.73170731707317,29.724166666666665,29.28756097560975,3.768292682926829,54.5609756097561,184.59459459459458
2020-04-14,29.990833333333338,28.416666666666668,48.75,46.416666666666664,29.994166666666672,29.560833333333324,10.0,40.375,273.04347826086956
2020-04-15,29.926800000000007,22.0,43.5,45.416666666666664,29.93956521739131,29.496799999999997,10.0,35.458333333333336,263.6
2020-04-16,30.060800000000008,18.96,41.4,42.92,30.078695652173906,29.630799999999994,10.0,33.48,298.3333333333333
2020-04-17,30.105161290322577,25.225806451612904,38.96774193548387,62.25806451612903,30.153333333333332,29.675161290322585,8.903225806451612,34.064516129032256,171.92307692307693
2020-04-18,29.782,34.5,40.2,81.33333333333333,29.80791666666666,29.35766666666667,6.65,37.86666666666667,221.66666666666666
